,USA,India,UK,South Africa
anger,0.1306312120820963,0.11297734115037236,0.11205996773887465,0.18057187622405013
disgust,0.07318962178907965,0.09467596260497543,0.1149065376221653,0.11868390129259694
fear,0.09009939331354072,0.08873395658374267,0.14953980453553467,0.09204857030943987
joy,0.08764683103136699,0.1147203295832673,0.10902362653003131,0.08656482569526047
neutral,0.38673034723118627,0.4124544446205039,0.2700445962615049,0.3102232667450059
sadness,0.2080805473086356,0.15061004595151323,0.21197457064237593,0.1927144535840188
surprise,0.023622047244094488,0.0258279195056251,0.032450896669513236,0.019193106149627888
